epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1431.61,0.61765,0.87424,0.98941,0.94746,0.93925,0.995,0.87761,0.49768,0.98497,0.94264,0.000834822,0.000834822,0.000834822
44,1462.53,0.55582,0.85411,0.94753,0.97361,0.88889,0.9675,0.89657,0.50132,0.99884,0.92601,0.000820675,0.000820675,0.000820675
45,1499.08,0.50311,0.83054,0.93485,0.97487,0.88889,0.9675,0.89898,0.50609,0.95514,0.91939,0.000806528,0.000806528,0.000806528
46,1532.19,0.55605,0.82304,0.95153,0.9802,0.88889,0.9675,0.87567,0.42317,0.91551,0.87508,0.00079238,0.00079238,0.00079238
47,1561.86,0.52542,0.77401,0.94938,0.97821,0.90604,0.995,0.88483,0.5156,0.90325,0.92316,0.000778233,0.000778233,0.000778233
48,1588.9,0.54424,0.85728,0.9394,0.96383,0.91787,0.995,0.896,0.48727,0.87626,0.91336,0.000764086,0.000764086,0.000764086
49,1616.75,0.51942,0.84645,0.96143,0.9877,0.89654,0.995,0.89775,0.50897,0.94229,0.92668,0.000749939,0.000749939,0.000749939
50,1649.37,0.5568,0.82756,0.97061,0.9893,0.89787,0.995,0.87017,0.55281,0.98704,0.94015,0.000735792,0.000735792,0.000735792
51,1683.46,0.55308,0.81892,0.94065,0.96896,0.9147,0.995,0.83322,0.60816,0.95263,0.97182,0.000721645,0.000721645,0.000721645
52,1715.53,0.53899,0.82558,0.94985,0.93399,0.94482,0.995,0.84422,0.56118,0.90323,0.95822,0.000707498,0.000707498,0.000707498
53,1743.56,0.54933,0.81022,0.93853,0.91202,0.98961,0.995,0.89217,0.50274,0.85852,0.94911,0.000693351,0.000693351,0.000693351
54,1772.7,0.50698,0.75625,0.92429,0.93518,0.99292,0.995,0.90333,0.46739,0.80095,0.93745,0.000679204,0.000679204,0.000679204
55,1803.91,0.4623,0.73192,0.89166,0.94747,1,0.995,0.93106,0.43436,0.77501,0.9271,0.000665057,0.000665057,0.000665057
56,1838.38,0.50696,0.74892,0.94538,0.95466,1,0.995,0.91957,0.39221,0.76114,0.90292,0.000650909,0.000650909,0.000650909
57,1870.81,0.46596,0.74598,0.93503,0.94712,1,0.995,0.93214,0.3833,0.72863,0.89794,0.000636762,0.000636762,0.000636762
58,1900.74,0.55107,0.85013,0.94745,0.9461,1,0.995,0.918,0.40528,0.75671,0.8938,0.000622615,0.000622615,0.000622615
59,1928.67,0.44223,0.76182,0.91571,0.94957,1,0.995,0.90408,0.43135,0.75761,0.89906,0.000608468,0.000608468,0.000608468
60,1957.36,0.48763,0.78062,0.93016,0.95644,0.99878,0.995,0.91583,0.45859,0.73235,0.91031,0.000594321,0.000594321,0.000594321
61,1991.99,0.52609,0.76605,0.9732,0.96728,1,0.995,0.93083,0.47889,0.74032,0.92249,0.000580174,0.000580174,0.000580174
62,2024.48,0.45434,0.70241,0.90182,0.97458,1,0.995,0.91242,0.49006,0.76158,0.93262,0.000566027,0.000566027,0.000566027
63,2054.6,0.48144,0.73268,0.93984,0.97879,1,0.995,0.93075,0.4571,0.77343,0.91721,0.00055188,0.00055188,0.00055188
64,2084.7,0.44554,0.72048,0.90875,0.98115,1,0.995,0.88764,0.4954,0.81032,0.93356,0.000537733,0.000537733,0.000537733
65,2120.64,0.47913,0.73005,0.94904,0.97442,1,0.995,0.89767,0.54296,0.79074,0.95517,0.000523586,0.000523586,0.000523586
66,2153.91,0.45943,0.67168,0.90952,0.95826,1,0.995,0.89777,0.52793,0.7829,0.94759,0.000509438,0.000509438,0.000509438
67,2183.14,0.47329,0.66485,0.92702,0.94329,0.99258,0.995,0.89661,0.50062,0.75274,0.93816,0.000495291,0.000495291,0.000495291
68,2210.93,0.41634,0.66318,0.88081,0.93306,0.98835,0.995,0.89583,0.4883,0.75873,0.94954,0.000481144,0.000481144,0.000481144
69,2238.66,0.51001,0.73675,0.97384,0.91694,0.98895,0.995,0.86321,0.49361,0.82038,0.96746,0.000466997,0.000466997,0.000466997
70,2273.17,0.43844,0.66745,0.90714,0.93166,0.95649,0.995,0.84116,0.48331,0.86852,0.96103,0.00045285,0.00045285,0.00045285
71,2305.79,0.4105,0.63736,0.90831,0.96592,0.92049,0.995,0.83755,0.43822,0.86792,0.91497,0.000438703,0.000438703,0.000438703
72,2334.98,0.40487,0.64855,0.91314,0.98976,0.90007,0.995,0.82494,0.4211,0.84257,0.89462,0.000424556,0.000424556,0.000424556
73,2367.72,0.4353,0.64782,0.91947,0.98999,0.8997,0.995,0.86033,0.42638,0.90087,0.90323,0.000410409,0.000410409,0.000410409
74,2404.63,0.46487,0.6944,0.92953,0.97604,0.91262,0.995,0.88538,0.39026,0.80018,0.86762,0.000396262,0.000396262,0.000396262
75,2439.14,0.4225,0.64285,0.91594,0.94702,0.94273,0.995,0.90683,0.38378,0.76631,0.85134,0.000382115,0.000382115,0.000382115
76,2472.81,0.39762,0.60496,0.89033,0.92354,0.99007,0.995,0.91233,0.39763,0.77645,0.85802,0.000367967,0.000367967,0.000367967
